,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
P50-NH58,[30-257],[57-233],[45-263],[44-239],[63-322],[60-239],[75-357],[47-306],[41-220],[70-243],[75-275],[55-238],[49-305],[47-224],[48-183],[51-248],[43-223],[73-270],[43-273],[50-255],[43-281],[44-301],[48-204],[61-256],[75-267],[42-290],[55-223],[56-244],[66-243],[66-253],aaaaa,Group: 6
P39-NH58,[30-257],[57-233],[45-263],[44-239],[63-322],[60-239],[75-357],[47-306],[41-220],[70-243],[75-275],[55-238],[49-305],[47-224],[48-183],[51-248],[43-223],[73-270],[43-273],[50-255],[43-281],[44-301],[48-204],[61-256],[75-267],[42-290],[55-223],[56-244],[66-243],[66-253],aaaaa,Group: 6
P35-NH62,[30-257],[57-233],[45-263],[44-239],[63-322],[60-239],[75-357],[47-306],[41-220],[70-243],[75-275],[55-238],[49-305],[47-224],[48-183],[51-248],[43-223],[73-270],[43-273],[50-255],[43-281],[44-301],[48-204],[61-256],[75-267],[42-290],[55-223],[56-244],[66-243],[66-253],aaaaa,Group: 6
P01-NH58,[30-257],[57-233],[45-263],[44-239],[63-322],[60-239],[75-357],[47-306],[41-220],[70-243],[75-275],[55-238],[49-305],[47-224],[48-183],[51-248],[43-223],[73-270],[43-273],[50-255],[43-281],[44-301],[48-204],[61-256],[75-267],[42-290],[55-223],[56-244],[66-243],[66-253],aaaaa,Group: 6
P42-NH60,[30-257],[57-233],[45-263],[44-239],[63-322],[60-239],[75-357],[47-306],[41-220],[70-243],[75-275],[55-238],[49-305],[47-224],[48-183],[51-248],[43-223],[73-270],[43-273],[50-255],[43-281],[44-301],[48-204],[61-256],[75-267],[42-290],[55-223],[56-244],[66-243],[66-253],aaaaa,Group: 6
P54-NH58,[30-257],[57-233],[45-263],[44-239],[63-322],[60-239],[75-357],[47-306],[41-220],[70-243],[75-275],[55-238],[49-305],[47-224],[48-183],[51-248],[43-223],[73-270],[43-273],[50-255],[43-281],[44-301],[48-204],[61-256],[75-267],[42-290],[55-223],[56-244],[66-243],[66-253],aaaaa,Group: 6
P52-NH62,[30-257],[57-233],[45-263],[44-239],[63-322],[60-239],[75-357],[47-306],[41-220],[70-243],[75-275],[55-238],[49-305],[47-224],[48-183],[51-248],[43-223],[73-270],[43-273],[50-255],[43-281],[44-301],[48-204],[61-256],[75-267],[42-290],[55-223],[56-244],[66-243],[66-253],aaaaa,Group: 6
P21-NH62,[30-257],[57-233],[45-263],[44-239],[63-322],[60-239],[75-357],[47-306],[41-220],[70-243],[75-275],[55-238],[49-305],[47-224],[48-183],[51-248],[43-223],[73-270],[43-273],[50-255],[43-281],[44-301],[48-204],[61-256],[75-267],[42-290],[55-223],[56-244],[66-243],[66-253],aaaaa,Group: 6
P52-NH58,[30-257],[57-233],[45-263],[44-239],[63-322],[60-239],[75-357],[47-306],[41-220],[70-243],[75-275],[55-238],[49-305],[47-224],[48-183],[51-248],[43-223],[73-270],[43-273],[50-255],[43-281],[44-301],[48-204],[61-256],[75-267],[42-290],[55-223],[56-244],[66-243],[66-253],aaaaa,Group: 6
P49-NH64,[30-257],[57-233],[45-263],[44-239],[63-322],[60-239],[75-357],[47-306],[41-220],[70-243],[75-275],[55-238],[49-305],[47-224],[48-183],[51-248],[43-223],[73-270],[43-273],[50-255],[43-281],[44-301],[48-204],[61-256],[75-267],[42-290],[55-223],[56-244],[66-243],[66-253],aaaaa,Group: 6
P34-NH62,[30-257],[57-233],[45-263],[44-239],[63-322],[60-239],[75-357],[47-306],[41-220],[70-243],[75-275],[55-238],[49-305],[47-224],[48-183],[51-248],[43-223],[73-270],[43-273],[50-255],[43-281],[44-301],[48-204],[61-256],[75-267],[42-290],[55-223],[56-244],[66-243],[66-253],aaaaa,Group: 6
P49-NH62,[42-308],[39-292],[47-259],[43-227],[44-325],[40-235],[42-277],[23-278],[60-364],[50-348],[43-289],[35-297],[35-198],[50-268],[42-261],[40-202],[28-201],[35-279],[45-205],[50-293],[42-196],[51-266],[33-186],[39-164],[31-247],[62-227],[37-189],[55-182],[34-343],[43-219],aaaaa,Group: 7
P50-NH60,[42-308],[39-292],[47-259],[43-227],[44-325],[40-235],[42-277],[23-278],[60-364],[50-348],[43-289],[35-297],[35-198],[50-268],[42-261],[40-202],[28-201],[35-279],[45-205],[50-293],[42-196],[51-266],[33-186],[39-164],[31-247],[62-227],[37-189],[55-182],[34-343],[43-219],aaaaa,Group: 7
P52-NH60,[42-308],[39-292],[47-259],[43-227],[44-325],[40-235],[42-277],[23-278],[60-364],[50-348],[43-289],[35-297],[35-198],[50-268],[42-261],[40-202],[28-201],[35-279],[45-205],[50-293],[42-196],[51-266],[33-186],[39-164],[31-247],[62-227],[37-189],[55-182],[34-343],[43-219],aaaaa,Group: 7
P49-NH60,[42-308],[39-292],[47-259],[43-227],[44-325],[40-235],[42-277],[23-278],[60-364],[50-348],[43-289],[35-297],[35-198],[50-268],[42-261],[40-202],[28-201],[35-279],[45-205],[50-293],[42-196],[51-266],[33-186],[39-164],[31-247],[62-227],[37-189],[55-182],[34-343],[43-219],aaaaa,Group: 7
P01-NH60,[42-308],[39-292],[47-259],[43-227],[44-325],[40-235],[42-277],[23-278],[60-364],[50-348],[43-289],[35-297],[35-198],[50-268],[42-261],[40-202],[28-201],[35-279],[45-205],[50-293],[42-196],[51-266],[33-186],[39-164],[31-247],[62-227],[37-189],[55-182],[34-343],[43-219],aaaaa,Group: 7
P04-NH58,[42-308],[39-292],[47-259],[43-227],[44-325],[40-235],[42-277],[23-278],[60-364],[50-348],[43-289],[35-297],[35-198],[50-268],[42-261],[40-202],[28-201],[35-279],[45-205],[50-293],[42-196],[51-266],[33-186],[39-164],[31-247],[62-227],[37-189],[55-182],[34-343],[43-219],aaaaa,Group: 7
P28-NH62,[42-308],[39-292],[47-259],[43-227],[44-325],[40-235],[42-277],[23-278],[60-364],[50-348],[43-289],[35-297],[35-198],[50-268],[42-261],[40-202],[28-201],[35-279],[45-205],[50-293],[42-196],[51-266],[33-186],[39-164],[31-247],[62-227],[37-189],[55-182],[34-343],[43-219],aaaaa,Group: 7
P68-NH60,[42-308],[39-292],[47-259],[43-227],[44-325],[40-235],[42-277],[23-278],[60-364],[50-348],[43-289],[35-297],[35-198],[50-268],[42-261],[40-202],[28-201],[35-279],[45-205],[50-293],[42-196],[51-266],[33-186],[39-164],[31-247],[62-227],[37-189],[55-182],[34-343],[43-219],aaaaa,Group: 7
P18-NH64,[42-308],[39-292],[47-259],[43-227],[44-325],[40-235],[42-277],[23-278],[60-364],[50-348],[43-289],[35-297],[35-198],[50-268],[42-261],[40-202],[28-201],[35-279],[45-205],[50-293],[42-196],[51-266],[33-186],[39-164],[31-247],[62-227],[37-189],[55-182],[34-343],[43-219],bbaaa,Group: 7
P52-NH64,[42-308],[39-292],[47-259],[43-227],[44-325],[40-235],[42-277],[23-278],[60-364],[50-348],[43-289],[35-297],[35-198],[50-268],[42-261],[40-202],[28-201],[35-279],[45-205],[50-293],[42-196],[51-266],[33-186],[39-164],[31-247],[62-227],[37-189],[55-182],[34-343],[43-219],bbaaa,Group: 7
P16-NH58,[42-308],[39-292],[47-259],[43-227],[44-325],[40-235],[42-277],[23-278],[60-364],[50-348],[43-289],[35-297],[35-198],[50-268],[42-261],[40-202],[28-201],[35-279],[45-205],[50-293],[42-196],[51-266],[33-186],[39-164],[31-247],[62-227],[37-189],[55-182],[34-343],[43-219],bbaaa,Group: 7
P42-NH58,[42-308],[39-292],[47-259],[43-227],[44-325],[40-235],[42-277],[23-278],[60-364],[50-348],[43-289],[35-297],[35-198],[50-268],[42-261],[40-202],[28-201],[35-279],[45-205],[50-293],[42-196],[51-266],[33-186],[39-164],[31-247],[62-227],[37-189],[55-182],[34-343],[43-219],bbaaa,Group: 7
P51-NH58,[42-308],[39-292],[47-259],[43-227],[44-325],[40-235],[42-277],[23-278],[60-364],[50-348],[43-289],[35-297],[35-198],[50-268],[42-261],[40-202],[28-201],[35-279],[45-205],[50-293],[42-196],[51-266],[33-186],[39-164],[31-247],[62-227],[37-189],[55-182],[34-343],[43-219],bbaaa,Group: 7
P30-NH60,[42-308],[39-292],[47-259],[43-227],[44-325],[40-235],[42-277],[23-278],[60-364],[50-348],[43-289],[35-297],[35-198],[50-268],[42-261],[40-202],[28-201],[35-279],[45-205],[50-293],[42-196],[51-266],[33-186],[39-164],[31-247],[62-227],[37-189],[55-182],[34-343],[43-219],bbaaa,Group: 7
P26-NH62,[42-308],[39-292],[47-259],[43-227],[44-325],[40-235],[42-277],[23-278],[60-364],[50-348],[43-289],[35-297],[35-198],[50-268],[42-261],[40-202],[28-201],[35-279],[45-205],[50-293],[42-196],[51-266],[33-186],[39-164],[31-247],[62-227],[37-189],[55-182],[34-343],[43-219],bbaaa,Group: 7
P30-NH62,[42-308],[39-292],[47-259],[43-227],[44-325],[40-235],[42-277],[23-278],[60-364],[50-348],[43-289],[35-297],[35-198],[50-268],[42-261],[40-202],[28-201],[35-279],[45-205],[50-293],[42-196],[51-266],[33-186],[39-164],[31-247],[62-227],[37-189],[55-182],[34-343],[43-219],bbaaa,Group: 7
P05-NH64,[46-275],[53-314],[43-332],[38-347],[44-311],[47-329],[41-310],[46-268],[43-400],[32-400],[35-317],[31-400],[98-361],[39-340],[35-411],[67-400],[42-333],[50-367],[55-403],[80-356],[92-389],[60-346],[45-383],[39-379],[41-367],[130-391],[48-295],[47-275],[43-305],[44-363],abbba,Group: 8
P47-NH58,[46-275],[53-314],[43-332],[38-347],[44-311],[47-329],[41-310],[46-268],[43-400],[32-400],[35-317],[31-400],[98-361],[39-340],[35-411],[67-400],[42-333],[50-367],[55-403],[80-356],[92-389],[60-346],[45-383],[39-379],[41-367],[130-391],[48-295],[47-275],[43-305],[44-363],abbba,Group: 8
P62-NH58,[46-275],[53-314],[43-332],[38-347],[44-311],[47-329],[41-310],[46-268],[43-400],[32-400],[35-317],[31-400],[98-361],[39-340],[35-411],[67-400],[42-333],[50-367],[55-403],[80-356],[92-389],[60-346],[45-383],[39-379],[41-367],[130-391],[48-295],[47-275],[43-305],[44-363],abbba,Group: 8
P21-NH60,[46-275],[53-314],[43-332],[38-347],[44-311],[47-329],[41-310],[46-268],[43-400],[32-400],[35-317],[31-400],[98-361],[39-340],[35-411],[67-400],[42-333],[50-367],[55-403],[80-356],[92-389],[60-346],[45-383],[39-379],[41-367],[130-391],[48-295],[47-275],[43-305],[44-363],abbba,Group: 8
P51-NH62,[46-275],[53-314],[43-332],[38-347],[44-311],[47-329],[41-310],[46-268],[43-400],[32-400],[35-317],[31-400],[98-361],[39-340],[35-411],[67-400],[42-333],[50-367],[55-403],[80-356],[92-389],[60-346],[45-383],[39-379],[41-367],[130-391],[48-295],[47-275],[43-305],[44-363],abbba,Group: 8
P55-NH62,[46-275],[53-314],[43-332],[38-347],[44-311],[47-329],[41-310],[46-268],[43-400],[32-400],[35-317],[31-400],[98-361],[39-340],[35-411],[67-400],[42-333],[50-367],[55-403],[80-356],[92-389],[60-346],[45-383],[39-379],[41-367],[130-391],[48-295],[47-275],[43-305],[44-363],abbba,Group: 8
